Source,Target,Type,Id,Label,Weight
Congo Great Lakes Initiative,MAA,Undirected,753,,1
Congo Great Lakes Initiative,UK Research and Innovation,Undirected,754,,1
Connection Support,Dr Jenny Balfour-Paul,Undirected,755,,1
Connection Support,Dr Laura Fan,Undirected,756,,1
Connection Support,Esmée Fairbairn Collections Fund,Undirected,757,,1
Connection Support,Faye Belsey,Undirected,758,,1
Connection Support,Gillian Vogelsang-Eastwood,Undirected,759,,1
Connection Support,Iraqi Women Art and War,Undirected,760,,2
Connection Support,Jenny Balfour-Paul,Undirected,761,,1
Connection Support,Jenny Balfour-Paul ,Undirected,762,,1
Connection Support,Margaret Mary Vale,Undirected,763,,1
Connection Support,Nicola Bird,Undirected,764,,1
Connection Support,Nuha Abdo,Undirected,765,,1
Connection Support,PR,Undirected,766,,2
Connection Support,Reem Alalaf ,Undirected,767,,1
Connection Support,Refugee Resource,Undirected,768,,2
Connection Support,Sheila Paine,Undirected,769,,1
Connection Support,Shelagh Weir,Undirected,770,,1
Connection Support,Syrian Sisters,Undirected,771,,2
Connection Support,Widad Kawar,Undirected,772,,1
Connection Support,the History of Science Museum,Undirected,773,,2
David Walker (Phillips),Dr Anne Ferrey,Undirected,774,,1
David Walker (Phillips),Dr George Leeson (Oxford Institute of Population Ageing),Undirected,775,,1
David Walker (Phillips),Hannah Oatley (Oxford Academic Health Science Network),Undirected,776,,1
David Walker (Phillips),Micro Scooters Ltd,Undirected,777,,1
David Walker (Phillips),PR,Undirected,778,,1
David Walker (Phillips),Rycotewood Furniture Centre,Undirected,779,,1
David Walker (Phillips),Sarah and Trevor Young,Undirected,780,,1
David Walker (Phillips),Stephanie Bevan (Herts Careline),Undirected,781,,1
David Walker (Phillips),Suzy Prior,Undirected,782,,1
Departamento de Biología de la Universidad Autónoma de Madrid,M16,Undirected,783,,1
Departamento de Biología de la Universidad Autónoma de Madrid,MDA,Undirected,784,,1
Departamento de Biología de la Universidad Autónoma de Madrid,Portal de la transparencia,Undirected,785,,1
Departamento de Biología de la Universidad Autónoma de Madrid,Universidad de Loughborough (Reino Unido),Undirected,786,,1
Dr Anne Ferrey,Dr George Leeson (Oxford Institute of Population Ageing),Undirected,787,,1
Dr Anne Ferrey,Hannah Oatley (Oxford Academic Health Science Network),Undirected,788,,1
Dr Anne Ferrey,Micro Scooters Ltd,Undirected,789,,1
Dr Anne Ferrey,PR,Undirected,790,,1
Dr Anne Ferrey,Rycotewood Furniture Centre,Undirected,791,,1
Dr Anne Ferrey,Sarah and Trevor Young,Undirected,792,,1
Dr Anne Ferrey,Stephanie Bevan (Herts Careline),Undirected,793,,1
Dr Anne Ferrey,Suzy Prior,Undirected,794,,1
Dr George Leeson (Oxford Institute of Population Ageing),Hannah Oatley (Oxford Academic Health Science Network),Undirected,795,,1
Dr George Leeson (Oxford Institute of Population Ageing),Micro Scooters Ltd,Undirected,796,,1
Dr George Leeson (Oxford Institute of Population Ageing),PR,Undirected,797,,1
Dr George Leeson (Oxford Institute of Population Ageing),Rycotewood Furniture Centre,Undirected,798,,1
Dr George Leeson (Oxford Institute of Population Ageing),Sarah and Trevor Young,Undirected,799,,1
